1223,1993-09-11,1993-09-12,"1993 Wisconsin States",1993-wisconsin-states
1224,1993-08-28,1993-08-28,"1993 Massachusetts States",1993-massachusetts-states
1225,1994-04-16,1994-04-17,"1994 Virginia States",1994-virginia-states
1226,1994-04-23,1994-04-24,"1994 World Beach Invitational",1994-world-beach-invitational
1227,1994-05-14,1994-05-14,"1994 San Diego Monthly #1",1994-san-diego-monthly-1
1228,1994-05-21,1994-05-21,"1994 La Mirada Spring Overall",1994-la-mirada-spring-overall
1229,1994-05-28,1994-05-29,"1994 Octad",1994-octad
1230,1994-08-28,1994-08-28,"1994 Beach Bowl 14",1994-beach-bowl-14
1231,1994-09-17,1994-09-17,"1994 New Hampshire States",1994-new-hampshire-states
1232,1994-09-24,1994-09-24,"1994 Santa Monica Cup",1994-santa-monica-cup
1233,1994-09-24,1994-09-24,"1994 Iowa States",1994-iowa-states
1234,1994-09-24,1994-09-25,"1994 Tennesse States",1994-tennesse-states
1235,1994-10-01,1994-10-02,"1994 Florida States",1994-florida-states
